Ea,Ed,El,Epro,Qcre,Qhpro,Qs,Vw,Vww,X,people,ve
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,316.79037,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,311.29527,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,300.30508,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,289.31488,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,289.31488,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,35362.48655,0.0,0.0,0.0,443.12146,528.63891,0.0,0.0,0.0
16929.72669,0.0,18780.13764,35362.48655,0.0,0.0,796.60465,397.3477,462.55905,1007.03502,692.0,1153.89731
16929.72669,0.0,18780.13764,36139.456,0.0,0.0,796.60465,673.8594,726.8785,1007.03502,692.0,1153.89731
48580.95484,0.0,48580.95484,37304.91016,0.0,0.0,3285.16279,900.91523,991.19796,3705.92996,3076.0,3999.58924
51525.25513,0.0,58926.89893,38858.84905,0.0,0.0,4179.61628,1225.01368,1387.67714,4390.07004,4075.0,4536.94866
55941.70557,0.0,74445.81506,38858.84905,0.0,0.0,6864.76744,1204.90242,1255.51742,6443.85992,7074.0,6150.10269
57413.85572,0.0,79618.7871,10709.92062,0.0,0.0,7760.11628,1475.91903,1519.83687,7128.68482,8074.0,6688.0
35331.60352,0.0,63087.76774,10127.19354,0.0,0.0,7956.7093,1349.58793,1321.59728,6483.57977,8689.0,5455.4621
35331.60352,0.0,63087.76774,9738.70881,0.0,0.0,7956.7093,1303.81417,1255.51742,6483.57977,8689.0,5455.4621
35331.60352,0.0,63087.76774,9738.70881,0.0,0.0,7956.7093,1038.29266,991.19796,6483.57977,8689.0,5455.4621
35331.60352,0.0,63087.76774,9738.70881,0.0,0.0,7956.7093,878.99098,792.95837,6483.57977,8689.0,5455.4621
35331.60352,0.0,63087.76774,8767.49701,0.0,0.0,7956.7093,976.03361,925.1181,6483.57977,8689.0,5455.4621
20610.10205,0.0,52067.08817,7796.28521,0.0,0.0,7558.40698,611.65649,462.55905,5980.06226,8343.0,4878.51345
20610.10205,0.0,52067.08817,7796.28521,0.0,0.0,5370.30233,600.66629,462.55905,4107.57977,5998.0,3226.30807
17665.80176,0.0,41721.14409,7796.28521,0.0,0.0,1789.80233,556.70552,462.55905,1368.96498,1999.0,1075.25672
14721.50147,0.0,31375.2,7796.28521,0.0,0.0,1789.80233,518.23984,462.55905,1368.96498,1999.0,1075.25672
14721.50147,0.0,31375.2,7796.28521,0.0,0.0,1789.80233,582.31188,594.71878,1368.96498,1999.0,1075.25672
11777.20117,0.0,21029.25591,7796.28521,0.0,0.0,895.34884,344.26585,330.39932,684.8249,1000.0,537.89731
9568.97595,0.0,13269.79785,7796.28521,0.0,0.0,0.0,327.78056,330.39932,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,522.41991,598.81222,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,522.41991,598.81222,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,522.41991,598.81222,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,514.15931,598.81222,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,514.15931,598.81222,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,0.0,862.60607,1047.92138,0.0,0.0,0.0
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,398.30233,522.41991,598.81222,503.51751,346.0,576.94866
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,398.30233,547.20172,598.81222,503.51751,346.0,576.94866
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,398.30233,563.72293,598.81222,503.51751,346.0,576.94866
9568.97595,0.0,13269.79785,5549.04053,0.0,0.0,398.30233,580.24414,598.81222,503.51751,346.0,576.94866
11777.20117,0.0,21029.25591,5549.04053,0.0,0.0,1293.65116,704.15319,598.81222,1188.34241,1346.0,1114.84597
16193.65161,0.0,36548.17204,5549.04053,0.0,0.0,2188.10465,952.97224,898.21833,1872.48249,2345.0,1652.20538
16193.65161,0.0,36548.17204,5549.04053,0.0,0.0,2188.10465,994.27526,898.21833,1872.48249,2345.0,1652.20538
19137.95191,0.0,46894.11613,5549.04053,0.0,0.0,3977.90698,1342.72202,1347.32749,3241.44747,4344.0,2727.4621
19137.95191,0.0,46894.11613,5549.04053,0.0,0.0,3977.90698,977.75405,898.21833,3241.44747,4344.0,2727.4621
