Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,11307.564,5653.782,45230.257,45230.257,1023.000,0.000,998.489,2777.206,0.000,0.000,0.000,0.000,0.000,580.960,0.000,0.000,0.000,0.000,734.420,3174.826,0.000,0.000,0.000,-86.215,0.000,1666.558,0.000,0.000,580.960,176.830,0.000,0.000,367.414,0.000,284.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-998.489,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2687.481,0.000,0.000,0.000,0.000,862.756,0.000,0.000,0.000,0.000,790.163,0.000,1.341,0.000,0.000,-3.511,0.000,0.000,0.000,0.000,285.183,0.000,2.447,0.000,-1688.991,0.000,0.000,645.512,0.000,0.000,0.000,2777.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,196.478,173.959,0.000,0.000,0.000,0.000,176.830,-1688.991,0.000,0.000,0.000,0.000,0.000,0.000,283.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1664.112,0.000,0.000,571.455,0.000,790.163,-2777.206,0.000
B002,37382.108,1854.271,44502.510,44502.510,5081.000,0.000,6529.990,15877.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2288.436,8838.813,0.000,0.000,0.000,-361.919,0.000,5308.504,0.000,0.000,0.000,0.000,0.000,0.000,2372.852,0.000,1014.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1057.957,0.000,0.000,-7225.119,0.000,0.000,0.000,0.000,-15513.089,0.000,0.000,0.000,0.000,3530.310,0.000,0.000,0.000,0.000,4448.988,-5472.032,5.654,0.000,0.000,-2.690,0.000,0.000,0.000,-1684.582,1020.378,0.000,10.252,0.000,-8983.099,0.000,0.000,0.000,0.000,0.000,0.000,15877.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7298.516,0.000,0.000,0.000,0.000,0.000,0.000,1268.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5298.251,0.000,0.000,0.000,0.000,4448.988,-8652.578,0.000
B003,29477.722,2440.209,39043.340,39043.340,10431.000,0.000,21841.203,30371.051,0.000,0.000,0.000,0.000,0.000,819.222,0.000,0.000,0.000,0.000,3835.791,10887.141,0.000,0.000,0.000,-328.826,0.000,3224.201,0.000,0.000,819.222,180.479,0.000,0.000,9436.058,0.000,670.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-468.815,0.000,0.000,-28041.336,0.000,0.000,0.000,0.000,-30040.140,0.000,0.000,0.000,0.000,6752.694,0.000,0.000,0.000,0.000,11509.582,-21372.388,7.287,0.000,0.000,-2.085,0.000,0.000,0.000,-6411.303,671.052,0.000,13.235,0.000,-8198.937,0.000,0.000,910.246,0.000,0.000,0.000,30371.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,200.533,177.363,0.000,0.000,0.000,0.000,180.479,-1787.634,0.000,0.000,0.000,0.000,0.000,0.000,3045.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3210.966,0.000,0.000,809.221,0.000,11509.582,-2329.714,0.000
B004,23320.532,1930.508,30888.122,30888.122,601.000,0.000,1982.700,4272.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,751.490,2257.018,0.000,0.000,0.000,-119.333,0.000,1312.877,0.000,0.000,0.000,0.000,0.000,0.000,954.971,0.000,326.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-578.357,0.000,0.000,-1859.633,0.000,0.000,0.000,0.000,-4152.125,0.000,0.000,0.000,0.000,944.141,0.000,0.000,0.000,0.000,1975.593,-1404.344,6.957,0.000,0.000,-1.351,0.000,0.000,0.000,-432.746,333.043,0.000,9.219,0.000,-2169.424,0.000,0.000,0.000,0.000,0.000,0.000,4272.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1736.678,0.000,0.000,0.000,0.000,0.000,0.000,504.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1303.658,0.000,0.000,0.000,0.000,1975.593,-2413.176,0.000
B005,31222.299,4646.175,37169.404,37169.404,1187.000,0.000,5642.217,10226.936,0.000,0.000,0.000,0.000,0.000,460.721,0.000,-583.425,0.000,-0.375,946.471,4794.300,0.000,0.000,0.000,-239.153,0.000,2066.365,0.000,0.000,460.721,140.059,0.000,0.000,975.574,0.000,341.717,0.000,0.000,0.000,0.000,0.000,-16.582,0.000,0.000,-84.685,-30.535,0.000,-264.475,0.000,0.000,-760.775,0.000,0.000,-6421.380,0.000,0.000,0.000,0.000,-9979.471,-414.130,0.000,0.000,0.000,2216.023,0.000,0.000,0.000,0.000,1769.833,-4881.442,2.335,0.000,0.000,-8.311,0.000,0.000,0.000,-1454.259,342.042,0.000,4.991,0.000,-4337.255,0.000,0.000,511.912,0.000,-122.709,0.000,10226.936,-49.425,-177.668,0.000,0.000,0.000,0.000,0.000,0.000,0.000,155.621,137.395,0.000,0.000,0.000,0.000,140.059,-2882.995,0.000,0.000,0.000,0.000,0.000,0.000,504.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2061.374,0.000,0.000,451.343,0.000,1769.833,-3805.556,0.000
B006,123251.682,2499.020,179929.462,179929.462,14571.000,0.000,31308.542,55675.265,0.000,0.000,0.000,0.000,2616.654,982.079,0.000,0.000,0.000,0.000,9837.453,29120.453,0.000,0.000,0.000,-1216.989,0.000,15591.978,0.000,0.000,982.079,285.089,0.000,0.000,14772.295,0.000,3177.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2977.419,0.000,0.000,-37558.397,0.000,0.000,0.000,0.000,-54455.553,0.000,0.000,0.000,0.000,12437.276,0.000,0.000,0.000,0.000,20994.318,-28331.123,55.582,0.000,0.000,-2.723,0.000,439.829,0.000,-8770.358,3672.575,0.000,101.032,0.000,-23147.011,0.000,0.000,1091.199,0.000,0.000,0.000,55675.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,316.765,281.032,0.000,0.000,0.000,0.000,285.089,-14376.653,0.000,0.000,0.000,0.000,0.000,0.000,5981.458,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12874.293,0.000,0.000,966.379,0.000,20994.318,-18116.868,0.000
B007,24399.296,4066.549,48798.592,48798.592,976.000,0.000,1969.186,9406.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2606.493,3601.267,0.000,0.000,0.000,-120.764,0.000,1510.799,0.000,0.000,0.000,0.000,0.000,0.000,2804.366,0.000,325.438,0.000,0.000,502.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-17.567,0.000,-963.490,0.000,0.000,-1130.528,0.000,0.000,0.000,0.000,-9285.639,0.000,0.000,0.000,0.000,2090.468,0.000,0.000,0.000,0.000,8310.695,-1005.696,14.669,0.000,0.000,-0.552,0.000,0.000,150.664,-122.843,340.107,0.000,26.227,0.000,-7316.453,0.000,0.000,0.000,0.000,0.000,0.000,9909.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7193.610,0.000,0.000,0.000,0.000,0.000,0.000,2266.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-498.741,1484.572,0.000,0.000,0.000,0.000,8443.494,-8276.426,0.000
B008,26727.794,4473.391,53455.587,53455.587,0.000,0.000,515.451,3550.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12988.074,108434.657,12027.507,-94824.866,105360.963,-162.840,0.000,107669.291,0.000,0.000,0.000,0.000,0.000,0.000,1094.498,0.000,291.066,0.000,0.000,0.000,0.000,0.000,0.000,-10824.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-515.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3386.798,0.000,0.000,0.000,0.000,765.366,0.000,0.000,0.000,0.000,2855.037,0.000,0.297,0.000,0.000,-0.856,0.000,0.000,0.000,0.000,12318.612,0.000,0.165,0.000,-2871.347,0.000,0.000,0.000,0.000,0.000,0.000,98382.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94831.734,0.000,-2871.347,0.000,0.000,0.000,0.000,0.000,0.000,729.341,0.000,0.000,0.000,0.000,10825.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2308.163,0.000,0.000,0.000,0.000,13680.653,-3550.493,0.000
B009,36589.829,4550.974,54611.685,54611.685,7547.000,0.000,6030.200,12594.150,0.000,0.000,0.000,0.000,0.000,1216.186,0.000,0.000,0.000,0.000,3359.834,8577.957,0.000,0.000,0.000,-320.678,0.000,4395.313,0.000,0.000,1216.186,372.180,0.000,0.000,4273.575,0.000,931.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-907.533,0.000,0.000,-6824.751,0.000,0.000,0.000,0.000,-12271.258,0.000,0.000,0.000,0.000,2831.326,0.000,0.000,0.000,0.000,8280.101,-5122.667,9.154,0.000,0.000,-2.213,0.000,0.000,0.000,-1617.895,940.679,0.000,12.242,0.000,-6241.058,0.000,0.000,1351.318,0.000,0.000,0.000,12594.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,413.533,357.154,0.000,0.000,0.000,0.000,372.180,-4623.163,0.000,0.000,0.000,0.000,0.000,0.000,2015.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4383.071,0.000,0.000,1207.181,0.000,8280.101,-5769.398,0.000
B010,26658.340,4076.199,48914.385,48914.385,2603.000,0.000,2411.777,6325.620,0.000,0.000,0.000,0.000,0.000,398.181,0.000,0.000,0.000,0.000,1407.057,5371.517,0.000,0.000,0.000,-199.301,0.000,2980.974,0.000,0.000,398.181,121.014,0.000,0.000,772.135,0.000,539.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2411.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6124.058,0.000,0.000,0.000,0.000,1948.119,0.000,0.000,0.000,0.000,2029.406,0.000,3.624,0.000,0.000,-2.262,0.000,0.000,0.000,0.000,542.905,0.000,6.492,0.000,-3712.281,0.000,0.000,442.423,0.000,0.000,0.000,6325.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,134.460,118.818,0.000,0.000,0.000,0.000,121.014,-3712.281,0.000,0.000,0.000,0.000,0.000,0.000,746.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2974.482,0.000,0.000,390.317,0.000,2029.406,-6325.620,0.000
