Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,11307.564,5653.782,45230.257,45230.257,1213.000,0.000,998.389,2777.475,0.000,0.000,0.000,0.000,0.000,579.524,0.000,0.000,0.000,0.000,749.792,3173.518,0.000,0.000,0.000,-86.239,0.000,1666.767,0.000,0.000,579.524,202.916,0.000,0.000,365.017,0.000,317.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-998.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2687.756,0.000,0.000,0.000,0.000,862.835,0.000,0.000,0.000,0.000,797.150,0.000,1.369,0.000,0.000,-3.481,0.000,0.000,0.000,0.000,317.442,0.000,2.434,0.000,-1689.367,0.000,0.000,643.915,0.000,0.000,0.000,2777.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,225.462,200.202,0.000,0.000,0.000,0.000,202.916,-1689.367,0.000,0.000,0.000,0.000,0.000,0.000,286.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1664.333,0.000,0.000,570.956,0.000,797.150,-2777.475,0.000
B002,37382.108,1854.271,44502.510,44502.510,5842.000,0.000,6534.491,15884.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2354.124,8841.351,0.000,0.000,0.000,-362.003,0.000,5309.587,0.000,0.000,0.000,0.000,0.000,0.000,2560.018,0.000,1188.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1057.679,0.000,0.000,-7231.462,0.000,0.000,0.000,0.000,-15519.646,0.000,0.000,0.000,0.000,3531.765,0.000,0.000,0.000,0.000,4646.376,-5476.812,5.794,0.000,0.000,-2.574,0.000,0.000,0.000,-1686.111,1194.017,0.000,10.209,0.000,-8985.154,0.000,0.000,0.000,0.000,0.000,0.000,15884.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7299.044,0.000,0.000,0.000,0.000,0.000,0.000,1295.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5299.378,0.000,0.000,0.000,0.000,4646.376,-8652.760,0.000
B003,29477.722,2440.209,39043.340,39043.340,12072.000,0.000,21825.862,30356.274,0.000,0.000,0.000,0.000,0.000,818.073,0.000,0.000,0.000,0.000,4061.684,10880.746,0.000,0.000,0.000,-328.836,0.000,3222.085,0.000,0.000,818.073,199.529,0.000,0.000,10118.501,0.000,741.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-470.075,0.000,0.000,-28019.579,0.000,0.000,0.000,0.000,-30025.483,0.000,0.000,0.000,0.000,6749.691,0.000,0.000,0.000,0.000,12340.972,-21355.787,7.422,0.000,0.000,-1.955,0.000,0.000,0.000,-6406.485,741.814,0.000,13.176,0.000,-8199.621,0.000,0.000,908.970,0.000,0.000,0.000,30356.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,221.698,196.473,0.000,0.000,0.000,0.000,199.529,-1793.136,0.000,0.000,0.000,0.000,0.000,0.000,3265.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3208.909,0.000,0.000,808.842,0.000,12340.972,-2336.695,0.000
B004,23320.532,1930.508,30888.122,30888.122,724.000,0.000,1982.905,4273.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,740.213,2257.404,0.000,0.000,0.000,-119.360,0.000,1313.159,0.000,0.000,0.000,0.000,0.000,0.000,954.971,0.000,369.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-578.562,0.000,0.000,-1859.633,0.000,0.000,0.000,0.000,-4152.648,0.000,0.000,0.000,0.000,944.245,0.000,0.000,0.000,0.000,1976.901,-1404.344,7.180,0.000,0.000,-1.351,0.000,0.000,0.000,-432.746,374.935,0.000,9.218,0.000,-2169.743,0.000,0.000,0.000,0.000,0.000,0.000,4273.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1736.997,0.000,0.000,0.000,0.000,0.000,0.000,505.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1303.941,0.000,0.000,0.000,0.000,1976.901,-2413.726,0.000
B005,31222.299,4646.175,37169.404,37169.404,1340.000,0.000,5642.098,10226.560,0.000,0.000,0.000,0.000,0.000,460.255,0.000,-586.009,0.000,-0.375,975.359,4793.216,0.000,0.000,0.000,-239.135,0.000,2065.867,0.000,0.000,460.255,159.389,0.000,0.000,975.337,0.000,376.729,0.000,0.000,0.000,0.000,0.000,-16.012,0.000,0.000,-74.544,-27.090,0.000,-264.475,0.000,0.000,-760.656,0.000,0.000,-6421.360,0.000,0.000,0.000,0.000,-9979.176,-414.129,0.000,0.000,0.000,2215.955,0.000,0.000,0.000,0.000,1783.115,-4881.442,2.361,0.000,0.000,-8.249,0.000,0.000,0.000,-1454.259,377.025,0.000,4.945,0.000,-4337.078,0.000,0.000,511.395,0.000,-122.709,0.000,10226.560,-43.312,-171.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,177.099,156.815,0.000,0.000,0.000,0.000,159.389,-2882.819,0.000,0.000,0.000,0.000,0.000,0.000,508.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2060.922,0.000,0.000,451.754,0.000,1783.115,-3805.200,0.000
B006,123251.682,2499.020,179929.462,179929.462,16409.000,0.000,31329.311,55691.252,0.000,0.000,0.000,0.000,2614.915,981.664,0.000,0.000,0.000,0.000,9801.231,29121.130,0.000,0.000,0.000,-1216.837,0.000,15590.281,0.000,0.000,981.664,318.823,0.000,0.000,15301.622,0.000,3610.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2977.260,0.000,0.000,-37587.869,0.000,0.000,0.000,0.000,-54471.726,0.000,0.000,0.000,0.000,12440.111,0.000,0.000,0.000,0.000,21283.274,-28352.051,57.335,0.000,0.000,-2.689,0.000,501.504,0.000,-8778.480,4053.610,0.000,100.786,0.000,-23142.415,0.000,0.000,1090.738,0.000,0.000,0.000,55691.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,354.248,314.828,0.000,0.000,0.000,0.000,318.823,-14363.935,0.000,0.000,0.000,0.000,0.000,0.000,5938.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12874.581,0.000,0.000,967.224,0.000,21283.274,-18103.383,0.000
B007,24399.296,4066.549,48798.592,48798.592,1163.000,0.000,1968.493,9405.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2613.256,3603.112,0.000,0.000,0.000,-120.739,0.000,1512.691,0.000,0.000,0.000,0.000,0.000,0.000,2842.395,0.000,375.925,0.000,0.000,501.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-14.627,0.000,-963.913,0.000,0.000,-1129.451,0.000,0.000,0.000,0.000,-9284.521,0.000,0.000,0.000,0.000,2090.421,0.000,0.000,0.000,0.000,8441.390,-1004.580,15.477,0.000,0.000,-0.537,0.000,0.000,173.897,-122.883,389.690,0.000,26.191,0.000,-7316.028,0.000,0.000,0.000,0.000,0.000,0.000,9907.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7193.145,0.000,0.000,0.000,0.000,0.000,0.000,2265.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-498.297,1486.500,0.000,0.000,0.000,0.000,8585.898,-8276.347,0.000
B008,26727.794,4473.391,53455.587,53455.587,0.000,0.000,515.450,3550.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14619.329,108400.266,14238.563,-94793.543,105326.159,-162.846,0.000,107634.898,0.000,0.000,0.000,0.000,0.000,0.000,1094.498,0.000,349.326,0.000,0.000,0.000,0.000,0.000,0.000,-8957.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-515.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3386.867,0.000,0.000,0.000,0.000,765.368,0.000,0.000,0.000,0.000,2842.058,0.000,0.296,0.000,0.000,-0.860,0.000,0.000,0.000,0.000,14520.257,0.000,0.165,0.000,-2871.417,0.000,0.000,0.000,0.000,0.000,0.000,98349.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94799.342,0.000,-2871.417,0.000,0.000,0.000,0.000,0.000,0.000,726.026,0.000,0.000,0.000,0.000,12815.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2308.574,0.000,0.000,0.000,0.000,14636.663,-3550.572,0.000
B009,36589.829,4550.974,54611.685,54611.685,8753.000,0.000,6042.233,12608.731,0.000,0.000,0.000,0.000,0.000,1215.383,0.000,0.000,0.000,0.000,3468.578,8582.516,0.000,0.000,0.000,-320.795,0.000,4397.457,0.000,0.000,1215.383,419.628,0.000,0.000,4419.938,0.000,1049.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-907.357,0.000,0.000,-6840.950,0.000,0.000,0.000,0.000,-12285.845,0.000,0.000,0.000,0.000,2834.633,0.000,0.000,0.000,0.000,8407.974,-5134.876,9.415,0.000,0.000,-2.091,0.000,0.000,0.000,-1621.720,1055.281,0.000,12.196,0.000,-6243.612,0.000,0.000,1350.426,0.000,0.000,0.000,12608.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,466.253,416.247,0.000,0.000,0.000,0.000,419.628,-4621.892,0.000,0.000,0.000,0.000,0.000,0.000,2046.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4385.262,0.000,0.000,1207.209,0.000,8407.974,-5767.781,0.000
B010,26658.340,4076.199,48914.385,48914.385,2974.000,0.000,2413.383,6327.683,0.000,0.000,0.000,0.000,0.000,397.321,0.000,0.000,0.000,0.000,1417.603,5372.556,0.000,0.000,0.000,-199.331,0.000,2982.409,0.000,0.000,397.321,136.406,0.000,0.000,766.757,0.000,599.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2413.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6126.063,0.000,0.000,0.000,0.000,1948.678,0.000,0.000,0.000,0.000,2005.370,0.000,3.691,0.000,0.000,-2.289,0.000,0.000,0.000,0.000,602.729,0.000,6.500,0.000,-3712.680,0.000,0.000,441.468,0.000,0.000,0.000,6327.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,151.563,134.326,0.000,0.000,0.000,0.000,136.406,-3712.680,0.000,0.000,0.000,0.000,0.000,0.000,737.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2975.909,0.000,0.000,390.115,0.000,2005.370,-6327.683,0.000
